Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
27.83,355.27,-73.50
35.94,285.96,-71.47
46.42,231.73,-69.37
59.95,189.11,-66.90
77.43,155.94,-64.27
100.00,129.91,-61.50
129.15,108.91,-58.71
166.81,92.21,-55.98
215.44,78.59,-53.13
278.26,67.37,-50.22
359.38,58.17,-47.04
464.16,50.54,-43.44
599.48,44.54,-39.63
774.26,39.73,-35.51
1000.00,36.08,-31.26
1291.55,33.30,-27.01
1668.10,31.30,-22.87
2154.43,29.82,-19.22
2782.56,28.72,-15.92
3593.81,27.92,-13.10
4641.59,27.39,-10.71
5994.84,26.90,-8.73
7742.64,26.63,-7.07
10000.00,26.45,-5.76
12915.50,26.29,-4.69
16681.01,26.19,-3.96
21544.35,26.08,-3.37
27825.59,26.06,-2.81
35938.14,25.96,-2.67
46415.89,25.76,-2.70
59948.43,25.66,-2.73
77426.37,25.59,-2.80
100000.00,25.47,-2.89


Well: C1 - MDCK II
Spectrum: Run.17 measured at 11/01/2008 11:09:31 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7164.48,-81.48
1.29,5650.17,-81.38
1.67,4481.95,-81.52
2.15,3548.22,-81.49
2.78,2810.73,-81.43
3.59,2226.56,-81.09
4.64,1741.76,-80.58
5.99,1383.37,-80.11
7.74,1098.95,-78.71
10.00,880.59,-78.41
12.92,690.86,-77.57
16.68,551.69,-76.37
21.54,442.64,-75.05
27.83,354.01,-73.70
35.94,285.03,-71.49
46.42,230.97,-69.45
59.95,189.15,-66.85
77.43,155.73,-64.22
100.00,129.51,-61.54
129.15,108.92,-58.73
166.81,92.15,-55.93
215.44,78.58,-53.11
278.26,67.39,-50.17
359.38,58.19,-46.98
464.16,50.59,-43.46
599.48,44.50,-39.51
774.26,39.81,-35.50
1000.00,36.18,-31.14
1291.55,33.43,-26.93
1668.10,31.37,-22.85
2154.43,29.87,-19.17
2782.56,28.78,-15.81
3593.81,27.97,-13.04
4641.59,27.43,-10.65
5994.84,27.04,-8.75
7742.64,26.74,-7.04
10000.00,26.55,-5.87
12915.50,26.39,-4.81
16681.01,26.28,-3.99
21544.35,26.14,-3.61
27825.59,26.08,-3.02
35938.14,26.00,-2.89
46415.89,25.83,-2.97
59948.43,25.68,-3.00
77426.37,25.64,-2.96
100000.00,25.49,-3.03


Well: C1 - MDCK II
Spectrum: Run.18 measured at 11/01/2008 11:42:44 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7126.96,-81.72
1.29,5665.40,-81.48
1.67,4473.56,-81.49
2.15,3548.53,-81.19
2.78,2792.65,-81.36
3.59,2187.49,-80.62
4.64,1751.62,-80.67
5.99,1377.75,-80.28
7.74,1098.51,-79.12
10.00,880.21,-78.75
12.92,692.26,-77.54
16.68,554.10,-76.46
21.54,442.37,-75.05
27.83,353.41,-73.41
35.94,284.89,-71.38
46.42,231.49,-69.26
59.95,188.96,-66.85
77.43,155.81,-64.22
100.00,129.56,-61.46
129.15,108.78,-58.68
166.81,92.18,-55.82
215.44,78.54,-52.99
278.26,67.41,-50.07
359.38,58.21,-46.85
464.16,50.65,-43.35
599.48,44.65,-39.43
774.26,39.93,-35.22
1000.00,36.27,-31.02
1291.55,33.53,-26.77
1668.10,31.48,-22.76
2154.43,30.01,-19.01
2782.56,28.97,-15.81
3593.81,28.17,-13.07
4641.59,27.60,-10.68
5994.84,27.22,-8.74
7742.64,26.91,-7.16
10000.00,26.66,-5.98
12915.50,26.48,-4.91
16681.01,26.40,-4.10
21544.35,26.26,-3.58
27825.59,26.19,-3.16
35938.14,26.05,-3.04
46415.89,25.87,-3.06
59948.43,25.73,-3.07
77426.37,25.57,-3.12
100000.00,25.43,-3.16


Well: C1 - MDCK II
Spectrum: Run.19 measured at 12/01/2008 12:15:57 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7120.95,-81.32
1.29,5621.58,-81.51
1.67,4434.97,-81.52
2.15,3523.42,-81.19
2.78,2801.47,-81.01
3.59,2206.06,-81.18
4.64,1736.87,-81.19
5.99,1388.60,-80.33
7.74,1079.86,-79.19
10.00,875.98,-78.44
12.92,694.85,-76.88
16.68,553.20,-76.27
21.54,439.08,-74.97
27.83,353.18,-73.45
35.94,284.49,-71.30
46.42,230.51,-69.20
59.95,188.30,-66.73
77.43,155.46,-64.02
100.00,129.25,-61.41
129.15,108.76,-58.63
166.81,92.12,-55.78
215.44,78.52,-52.95
278.26,67.36,-49.96
359.38,58.21,-46.74
464.16,50.75,-43.16
599.48,44.75,-39.34
774.26,39.99,-35.14
1000.00,36.38,-30.93
1291.55,33.62,-26.63
1668.10,31.62,-22.63
2154.43,30.21,-18.92
2782.56,29.10,-15.71
3593.81,28.31,-13.02
4641.59,27.73,-10.69
5994.84,27.34,-8.74
7742.64,27.05,-7.16
10000.00,26.82,-5.94
12915.50,26.64,-5.08
16681.01,26.55,-4.41
21544.35,26.37,-3.83
27825.59,26.28,-3.42
35938.14,26.13,-3.35
46415.89,25.88,-3.31
59948.43,25.71,-3.46
77426.37,25.54,-3.38
100000.00,25.41,-3.34


Well: C1 - MDCK II
Spectrum: Run.20 measured at 12/01/2008 12:49:10 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7109.79,-81.44
1.29,5618.48,-81.73
1.67,4427.86,-81.41
2.15,3506.74,-81.33
2.78,2770.51,-81.43
3.59,2206.49,-80.77
4.64,1735.00,-80.91
5.99,1380.46,-80.11
7.74,1092.88,-79.35
10.00,875.60,-77.83
12.92,692.23,-77.50
16.68,553.77,-75.85
21.54,438.17,-74.65
27.83,352.45,-73.33
35.94,284.83,-71.28
46.42,230.39,-69.10
59.95,188.76,-66.64
77.43,155.64,-63.93
